ELAPSED_MINUTES;RESCHEDULING_TIME
0;317.647119
3;318.964562
6;202.36851
9;119.76531
12;130.319626
15;81.370696
18;73.947485
21;73.001775
24;60.51119
27;42.026303
30;41.259037
33;35.050628
36;46.124729
39;31.782928
42;37.315375
45;37.1836
48;27.235019
51;29.886926
54;29.712952
57;27.843458
60;31.499793
63;21.251798
66;21.056381
69;19.838959
72;19.759251
75;19.661431
78;19.36473
81;19.332966
84;19.099685
87;19.415232
90;21.019201
93;19.07454
96;19.196229
99;19.063189
102;18.912006
105;18.899659
108;18.649702
111;23.417953
114;18.69336
117;18.192142
120;18.510623
123;18.361129
126;17.637096
129;17.576707
132;17.851649
135;17.174967
138;16.110105
141;16.198957
144;15.918362
147;17.045726
150;15.52335
153;14.746285
156;14.632058
159;14.504064
162;13.899813
165;14.591423
168;14.202214
171;14.508237
174;13.758209
177;13.2291
180;13.362783
183;12.65444
186;12.452829
189;12.376715
192;12.134123
195;14.044199
198;11.607667
201;10.992221
204;11.299648
207;10.645779
210;10.777302
213;10.60751
216;10.541682
219;10.20696
222;10.26003
225;9.640179
228;9.655123
231;9.721382
234;9.502852
237;9.430782
240;8.636612
243;8.941126
246;8.843827
249;8.646931
252;8.366909
255;7.929004
258;8.277548
261;7.200292
264;7.079459
267;7.258032
270;6.460632
273;6.863888
276;6.669684
279;6.494495
282;6.390102
285;6.424562
288;6.375312
291;6.412542
294;5.997397
297;5.933296
300;5.924265
303;6.259807
306;6.089132
309;6.018047
312;5.824183
315;5.720493
318;5.844212
321;5.44746
324;5.67416
327;5.67953
330;5.625569
333;5.470584
336;5.817019
339;5.497184
342;4.878515
345;5.031792
348;5.194803
351;4.610112
354;4.882604
357;4.721292
360;4.417259
363;4.548488
366;4.286206
369;3.895174
372;3.512138
375;3.930728
378;3.562419
381;3.872764
384;2.921218
387;2.862524
390;2.681555
393;2.262502
396;2.031981
399;1.969919
402;1.642
405;1.531377
408;1.493308
411;1.421116
414;1.272233
417;1.194633
420;1.29416
423;0.737558
426;0.451752
429;0.669494
432;0.272963
